"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
4,43,217,"B07ZGWKVMB",true,43,"INR",90,47,52.22,2525,4.3,"https://www.amazon.in/dp/B07ZGWKVMB","10857.50",false,false,false,false,"Amazon Brand - Vedaka Coriander (Dhania) Powder, 200g","https://m.media-amazon.com/images/I/91WuuJktuWL._AC_UL320_.jpg"
4,44,218,"B0877FKXHV",false,139,"INR",0,0,0,1486,4.2,"https://www.amazon.in/dp/B0877FKXHV","6241.20",false,false,false,false,"Veggie Clean, Fruits and Vegetables Washing Liquid, Removes Germs, Chemicals, Waxes, No Soap, 100% Naturally Derived Clean...","https://m.media-amazon.com/images/I/61hOj7m5N2L._AC_UL320_.jpg"
4,46,220,"B08GLF385Z",true,299,"INR",500,201,40.2,419,4.3,"https://www.amazon.in/dp/B08GLF385Z","1801.70",false,false,false,false,"Amazon Brand - Vedaka Saffron 1g","https://m.media-amazon.com/images/I/81coY3Ld1lL._AC_UL320_.jpg"
5,11,223,"B07G5Y1CXP",true,89,"INR",155,66,42.58,10288,4.3,"https://www.amazon.in/dp/B07G5Y1CXP","44238.40",false,false,false,false,"Amazon Brand - Presto! Dish Wash Gel - 750 ml (Lemon)","https://m.media-amazon.com/images/I/71vupenfRvL._AC_UL320_.jpg"
5,13,225,"B078BNJ747",true,204,"INR",245,41,16.73,639,4.4,"https://www.amazon.in/dp/B078BNJ747","2811.60",false,false,false,false,"Pillsbury Chakki Fresh Atta| Made from Finest Quality of Wheat Grains | 100% Atta| 0% Maida | Upto 6 Hours of Softness, 5Kg","https://m.media-amazon.com/images/I/71uWsdpv0ZL._AC_UL320_.jpg"
5,14,226,"B071NZBXN9",true,17,"INR",25,8,32,1549,4.4,"https://www.amazon.in/dp/B071NZBXN9","6815.60",false,false,false,false,"Trust Classic Mishri, 200g","https://m.media-amazon.com/images/I/81vctFTvQOL._AC_UL320_.jpg"
5,15,227,"B0968C1WK6",false,185,"INR",0,0,0,2,4.5,"https://www.amazon.in/dp/B0968C1WK6","9.00",false,false,false,false,"Radhuni Palm Oil 1l","https://m.media-amazon.com/images/I/61QQLl2Xv0S._AC_UL320_.jpg"
5,16,228,"B01LW4ZE1X",false,165,"INR",0,0,0,4118,4.3,"https://www.amazon.in/dp/B01LW4ZE1X","17707.40",false,false,false,false,"Nature Fresh Soyabean Oil Pouch, 1L","https://m.media-amazon.com/images/I/81QrG08A71L._AC_UL320_.jpg"
5,17,229,"B08F5WBWMW",true,84,"INR",110,26,23.64,142,4.1,"https://www.amazon.in/dp/B08F5WBWMW","582.20",false,false,false,false,"Natural Tattva Rock Salt 1kg","https://m.media-amazon.com/images/I/71o3W0L7F2L._AC_UL320_.jpg"
5,18,230,"B01MU5AUL1",true,94,"INR",120,26,21.67,228,4.5,"https://www.amazon.in/dp/B01MU5AUL1","1026.00",false,false,false,false,"Britannia Good Day Cashew Cookies, 5 x 120g","https://m.media-amazon.com/images/I/61UUTtZ+VpL._AC_UL320_.jpg"
5,19,231,"B00MOFO4FG",false,80,"INR",0,0,0,6158,4.6,"https://www.amazon.in/dp/B00MOFO4FG","28326.80",false,false,true,false,"Aashirvaad Select Premium Sharbati Atta, 1kg","https://m.media-amazon.com/images/I/813vskmZtnL._AC_UL320_.jpg"
5,20,232,"B077BCY5ZF",false,185,"INR",0,0,0,19682,4.5,"https://www.amazon.in/dp/B077BCY5ZF","88569.00",false,false,false,false,"Dabur Chyawanprash - 2 X Immunity - 550 gm (Get 50 gm Extra )","https://m.media-amazon.com/images/I/71oPudCSyBL._AC_UL320_.jpg"
5,21,233,"B094YWRLFC",true,178.5,"INR",195,16.5,8.46,1,5,"https://www.amazon.in/dp/B094YWRLFC","5.00",false,false,false,false,"Tata Tea Chakra Gold Care, 250g","https://m.media-amazon.com/images/I/61lFRgm7jAS._AC_UL320_.jpg"
5,22,234,"B08QJSYN5T",true,455,"INR",540,85,15.74,78,4,"https://www.amazon.in/dp/B08QJSYN5T","312.00",false,false,false,false,"Amazon Brand - Vedaka Cow Ghee, 1L Pouch","https://m.media-amazon.com/images/I/71dKUrhaRnL._AC_UL320_.jpg"
5,23,235,"B07M8HQL78",true,433.45,"INR",500,66.55,13.31,1915,4,"https://www.amazon.in/dp/B07M8HQL78","7660.00",false,false,false,false,"Amazon Brand - Vedaka Premium Inshell Walnuts, 500g","https://m.media-amazon.com/images/I/91PH7OnpI3L._AC_UL320_.jpg"
5,24,236,"B07F8BHP2C",true,681.31,"INR",1800,1118.69,62.15,860,4.3,"https://www.amazon.in/dp/B07F8BHP2C","3698.00",false,false,false,false,"Amazon Brand - Solimo Extra Virgin Olive Oil, 1L","https://m.media-amazon.com/images/I/71BmE5kRTwL._AC_UL320_.jpg"
5,26,238,"B07MC6ZST4",true,161,"INR",207,46,22.22,2646,4.2,"https://www.amazon.in/dp/B07MC6ZST4","11113.20",false,false,false,false,"Priya Refined Sunflower Oil Pouch, 1L","https://m.media-amazon.com/images/I/715gzIcmc7L._AC_UL320_.jpg"
5,27,239,"B071LGVNJ2",false,52,"INR",0,0,0,17052,4.4,"https://www.amazon.in/dp/B071LGVNJ2","75028.80",false,false,false,false,"Vim Dishwash Anti Smell Bar Pudina 200 g (Pack of 3)","https://m.media-amazon.com/images/I/61jypDcJuBL._AC_UL320_.jpg"
5,28,240,"B0989S1TYL",true,99,"INR",132,33,25,157,4.2,"https://www.amazon.in/dp/B0989S1TYL","659.40",false,false,false,true,"Top ramen Masala Noodles Pouch, 840 g","https://m.media-amazon.com/images/I/71ru9aRw31S._AC_UL320_.jpg"
5,29,241,"B01H4UN2QM",true,169,"INR",179,10,5.59,8912,4.5,"https://www.amazon.in/dp/B01H4UN2QM","40104.00",false,false,false,false,"Lizol Disinfectant Cleaner Floral 975ml","https://m.media-amazon.com/images/I/51aV+f1ZmuL._AC_UL320_.jpg"
